name,assists,elf_der_woche
Anton Heinz,12,6
Severo Sturm,10,5
Tarsis Bonga,4,5
Milos Cocic,3,2
Lado Akhalaia,8,3
Simon Skarlatidis,7,2
Yannick Glessing,7,4
Lucas Schraufstetter,3,2
Piet Scobel,6,3
David Günes,11,4
Jermain Nischalke,7,4
Pascal Schittler,6,3
Tobias Stossberger,6,3
Jorden Aigboje,9,2
Felix Bachschmid,3,2
Samed Bahar,10,3
Benjamin Baier,5,4
Cornelius Pfeiffer,9,4
Eric Weeger,7,2
Achitpol Keereerom,5,2
Kelvin Onuigwe,6,3
Selim Mjaki,8,4
Timo Kraeftner,9,4
Lucas Markert,10,3
Lukas Da Silva Freundorfer,12,3
Marin Hrgota,10,5
Alexander Moratz,12,3
Fabian Vogl,7,4
Jean-Paul Ajala-Alexis,10,5
Nico Ott,8,3
Jonas Bauer,10,3
Tom Kunert,9,4
Lucas Seidel,12,5
Edis Bakic,4,3
Ilhami Medineli,2,3
Marco Weber,10,1
Patryk Bytomski,3,2
Aykut Civelek,4,1
Hueseyin Durkan,3,2
Simon Gruber,12,7
Jonas Kronbichler,15,5
Raffael Ascher,9,5
Lukas Riglewski,5,5
Srdan Ivkovic,9,3
Cristian Leone,7,3
Achitpol Keereerom BL,3,4
Michael Senger,8,3
Alessandro Kazakov,10,5
Amar Cekic,3,4
David Lang,5,2
Felix Lehmer,6,5
Leonhard Thiel,11,4
Thomas Breu,11,2
Ibrahim Capar,8,5
Daniele Sgodzaj,11,4
Florian Gebert,6,1
Manuel Omelanowsky,8,3
Maximilian Seemueller,9,4
Matthias Jocham,8,1
